id,camp_id,student_id,payment_status,points_earned
1,1,1,full,0
2,1,2,deposit,0
3,1,3,deposit,0
4,1,4,deposit,0
5,1,5,full,0
6,1,6,deposit,0
7,1,7,deposit,0
8,3,8,deposit,0
9,3,9,deposit,0
10,3,10,deposit,0
11,3,11,full,0
12,3,12,full,0
13,3,13,full,0
14,3,14,full,0
15,5,15,full,0
16,5,16,deposit,0
17,5,17,full,0
18,5,18,deposit,0
19,5,19,full,0
20,5,20,full,0
21,5,21,deposit,0
22,5,22,full,0
23,8,23,full,0
24,8,24,full,0
25,8,25,deposit,0
26,8,26,full,0
27,8,27,deposit,0
28,8,28,deposit,0
29,8,29,full,0
30,10,30,deposit,0
31,10,31,full,0
32,10,32,deposit,0
33,10,33,deposit,0
34,10,34,deposit,0
35,10,35,full,0
36,10,36,deposit,0
37,12,37,full,0
38,12,38,full,0
39,12,39,deposit,0
40,12,40,full,0
41,12,41,deposit,0
42,12,42,full,0
43,12,43,deposit,0
44,12,44,full,0
45,14,45,deposit,0
46,14,46,full,0
47,14,47,full,0
48,14,48,full,0
49,14,49,full,0
50,14,50,deposit,0
51,14,51,full,0
52,16,52,deposit,0
53,16,53,deposit,0
54,16,54,deposit,0
55,16,55,full,0
56,16,56,full,0
57,16,57,deposit,0
58,16,58,full,0
59,16,59,deposit,0
60,19,60,full,0
61,19,61,full,0
62,19,62,full,0
63,19,63,full,0
64,19,64,deposit,0
65,19,65,full,0
66,19,66,full,0
67,21,67,deposit,0
68,21,68,deposit,0
69,21,69,deposit,0
70,21,70,deposit,0
71,21,71,deposit,0
72,21,72,full,0
73,21,73,full,0
74,21,74,full,0
75,23,75,deposit,0
76,23,76,full,0
77,23,77,full,0
78,23,78,full,0
79,23,79,full,0
80,23,80,deposit,0
81,23,81,full,0
82,26,82,deposit,0
83,26,83,deposit,0
84,26,84,full,0
85,26,85,deposit,0
86,26,86,deposit,0
87,26,87,deposit,0
88,26,88,deposit,0
89,26,89,full,0
90,28,90,deposit,0
91,28,91,full,0
92,28,92,deposit,0
93,28,93,deposit,0
94,28,94,full,0
95,28,95,deposit,0
96,28,96,deposit,0
97,28,97,deposit,0
98,30,98,full,0
99,30,99,deposit,0
100,30,100,deposit,0
101,30,101,full,0
102,30,102,deposit,0
103,30,103,deposit,0
104,30,104,deposit,0
105,30,105,deposit,0
106,32,106,deposit,0
107,32,107,full,0
108,32,108,full,0
109,32,109,full,0
110,32,110,full,0
111,32,111,deposit,0
112,32,112,full,0
113,32,113,deposit,0
114,34,114,full,0
115,34,115,full,0
116,34,116,deposit,0
117,34,117,deposit,0
118,34,118,deposit,0
119,34,119,full,0
120,34,120,full,0
121,34,121,full,0
122,2,122,full,0
123,2,123,full,0
124,2,124,deposit,0
125,2,125,deposit,0
126,2,126,deposit,0
127,2,127,full,0
128,2,128,full,0
129,7,129,deposit,0
130,7,130,full,0
131,7,131,deposit,0
132,7,132,full,0
133,7,133,full,0
134,7,134,deposit,0
135,7,135,deposit,0
136,15,136,deposit,0
137,15,137,full,0
138,15,138,full,0
139,15,139,deposit,0
140,15,140,deposit,0
141,15,141,full,0
142,15,142,full,0
143,18,143,full,0
144,18,144,deposit,0
145,18,145,deposit,0
146,18,146,full,0
147,18,147,deposit,0
148,18,148,deposit,0
149,18,149,full,0
150,18,150,deposit,0
151,20,151,full,0
152,20,152,full,0
153,20,153,full,0
154,20,154,full,0
155,20,155,deposit,0
156,20,156,full,0
157,20,157,deposit,0
158,24,158,full,0
159,24,159,deposit,0
160,24,160,deposit,0
161,24,161,full,0
162,24,162,deposit,0
163,24,163,full,0
164,24,164,full,0
165,24,165,deposit,0
166,27,166,deposit,0
167,27,167,full,0
168,27,168,deposit,0
169,27,169,deposit,0
170,27,170,deposit,0
171,27,171,deposit,0
172,27,172,full,0
173,27,173,full,0
174,33,174,deposit,0
175,33,175,deposit,0
176,33,176,deposit,0
177,33,177,deposit,0
178,33,178,full,0
179,33,179,deposit,0
180,33,180,full,0
181,33,181,full,0
182,36,182,deposit,0
183,36,183,full,0
184,36,184,deposit,0
185,36,185,full,0
186,36,186,full,0
187,36,187,full,0
188,36,188,deposit,0
189,36,189,full,0
190,4,190,deposit,0
191,4,191,full,0
192,4,192,full,0
193,4,193,deposit,0
194,4,194,deposit,0
195,11,195,full,0
196,11,196,full,0
197,11,197,full,0
198,11,198,full,0
199,11,199,full,0
200,11,200,full,0
201,13,201,full,0
202,13,202,full,0
203,13,203,full,0
204,13,204,deposit,0
205,13,205,full,0
206,13,206,deposit,0
207,13,207,deposit,0
208,17,208,full,0
209,17,209,full,0
210,17,210,deposit,0
211,17,211,full,0
212,17,212,deposit,0
213,17,213,full,0
214,17,214,full,0
215,25,215,deposit,0
216,25,216,deposit,0
217,25,217,deposit,0
218,25,218,full,0
219,25,219,deposit,0
220,25,220,deposit,0
221,25,221,deposit,0
222,25,222,deposit,0
223,35,223,full,0
224,35,224,deposit,0
225,35,225,deposit,0
226,35,226,full,0
227,35,227,full,0
228,35,228,deposit,0
229,35,229,full,0
